project,tool,description,permission,apis,inferable_from_description,qwen_reason,deepseek_reason
SerhatUzbas_mcp-server-generator,analyzeData,,Database Management,BigQuery; createQueryJob; getQueryResults,no,"The empty description implies no capability, while Database Management involves executing queries and managing data infrastructure, representing a strictly higher impact level.","Empty description implies no data access, but the tool performs database queries on BigQuery, which is an elevated read capability."
SerhatUzbas_mcp-server-generator,analyzeServerDependencies,,System Command Execution,importRegex.exec,no,"The tool name implies static analysis or inspection, but executing system commands represents a higher-impact capability that introduces unexpected security risks.","Executing system commands is a strictly higher-impact capability than the name implies, as it goes beyond passive analysis to active, potentially destructive operations."
SerhatUzbas_mcp-server-generator,browserStatus,,Browser Automation and Web Interaction,page.cookies; page.title; page.url(); page.viewport; puppeteer.browser.pages; puppeteer.page.evaluate,no,"The empty description implies no capability, but the actual permission enables active browser automation and interaction which is a significantly higher-impact capability.","Tool name 'browserStatus' implies read-only status check, but page.evaluate enables arbitrary code execution in the browser, a strictly higher-impact capability."
SerhatUzbas_mcp-server-generator,detectForms,,Browser Automation and Web Interaction,puppeteer.evaluate,no,"The empty description implies no capability, while browser automation allows arbitrary code execution and interaction, representing a strictly higher impact level.","No description or schema provided, so any browser automation capability is strictly higher impact than the implied baseline of nothing, presenting material risk."
SerhatUzbas_mcp-server-generator,downloadFile,,Browser Automation and Web Interaction,puppeteer.Page.setDownloadBehavior; puppeteer.browser.newPage; puppeteer.close; puppeteer.goto,no,"The tool name implies a simple file retrieval operation, but the actual implementation requires full browser automation capabilities including page navigation and state management, which is a significantly higher-impact capability than a standard download function.","Tool name implies simple file download, but actual permission enables full browser automation with navigation and page control, a strictly higher-impact capability."
SerhatUzbas_mcp-server-generator,extractElements,,Browser Automation and Web Interaction,puppeteer.evaluate,no,"The empty description implies no capability, while browser automation involves executing code and interacting with live web pages, representing a strictly higher impact level.","Tool name implies read-only extraction, but puppeteer.evaluate enables arbitrary JavaScript execution and mutation, a strictly higher impact."
SerhatUzbas_mcp-server-generator,getAllLinks,,Browser Automation and Web Interaction,puppeteer.evaluate,no,"The tool name implies a passive data retrieval operation, but browser automation involves active execution and interaction capabilities that represent a strictly higher impact level.","Tool name suggests read-only link retrieval (L1), but puppeteer.evaluate enables arbitrary script execution (L3) which is a higher-impact mutating capability not disclosed."
SerhatUzbas_mcp-server-generator,performTask,,Browser Automation and Web Interaction,page.title(); page.url(); puppeteer.evaluate,no,"The empty description implies no capability, while browser automation involves high-impact execution and interaction that exceeds the baseline.","Tool has no description, so any capability is unexpected; actual behavior includes browser automation and code execution (puppeteer.evaluate), far exceeding the nil baseline."
SerhatUzbas_mcp-server-generator,test-connection,,Database Management,pg.Client.query; pg.Pool.connect,no,"The empty description implies no capability, but the actual permission involves managing database connections and executing queries, which is a high-impact operation not disclosed.","The tool name suggests a read-only connection test, but the actual permissions allow arbitrary SQL queries (including write/delete) through pg.Client.query, exceeding the expected impact."
SerhatUzbas_mcp-server-generator,typeText,,Browser Automation and Web Interaction,puppeteer.page.evaluate; puppeteer.page.waitForSelector,no,"The tool name implies simple text input, but the actual capability involves full browser automation and DOM interaction, which is a strictly higher-impact and broader scope than implied.","The name 'typeText' implies a limited text input action, but the actual permission includes executing arbitrary JavaScript (page.evaluate) and full browser automation, which is a strictly higher-impact capability."
SerhatUzbas_mcp-server-generator,waitForElement,,Browser Automation and Web Interaction,puppeteer.Page.waitForSelector; puppeteer.page.evaluate,no,"The tool name implies a passive wait operation, but the actual capability includes active browser automation and script execution via page.evaluate, which is a strictly higher-impact capability.","The tool name implies passive wait behavior but the evaluate API enables arbitrary JavaScript execution, a strictly higher-impact mutating capability without any description."
Shilpaj1994_MCP-AI-Agent,save_slide_as_png,"Saves the current slide as a PNG image and moves it to PROJECT_ROOT/content/slide.png. :param use_secondary_screen: If True, use the secondary screen (with larger x-coordinate)",Browser Automation and Web Interaction,press,no,"The description implies a local file save operation, but the actual permission involves interacting with a web browser context which is a distinct and higher-impact domain not implied by saving a slide.",The description implies a file save operation (L2) without any mention of input keypresses; the ability to press a key is a higher-impact L3 action that could unexpectedly alter the user's active workspace.
Shilpaj1994_MCP-AI-Agent,save_slide_as_png,"Saves the current slide as a PNG image and moves it to PROJECT_ROOT/content/slide.png. :param use_secondary_screen: If True, use the secondary screen (with larger x-coordinate)",System Command Execution,pyautogui.click; pyautogui.hotkey; pyautogui.moveTo; pyautogui.press,no,"The description implies a passive save action, but the actual permission involves executing system-level input commands (clicks, key presses) via pyautogui, which is a strictly higher-impact capability allowing arbitrary control.","The tool provides GUI automation (click, hotkey, moveTo, press) which is a L3 command execution capability that exceeds the described file generation task and could disrupt user activity."
Siddhant-K-code_mcp-apple-notes,create-note,,System Command Execution,child_process.execSync,no,"The tool name implies a standard application-level write operation, but the actual permission allows arbitrary system command execution via shell scripts, which is a strictly higher-impact capability.","The tool name implies creating a note (L2 mutation), but the actual capability includes executing arbitrary system commands (L3), which is a strictly higher-impact and materially dangerous capability beyond what the description led the agent to expect."
Siddhant-K-code_mcp-apple-notes,get-note-content,,System Command Execution,child_process.execSync,no,Executing system commands is an L3 capability that strictly exceeds the L1 read baseline implied by the tool name.,"Tool name implies read-only note retrieval (L1), but actual permission includes arbitrary system command execution (L3), a higher-impact capability."
Siddhant-K-code_mcp-apple-notes,search-notes,,System Command Execution,child_process.execSync,no,"The tool name implies a safe read-only search operation, but executing system commands via child_process or AppleScript represents a strictly higher-impact L3 capability that poses significant unexpected security risks.","Tool name implies read-only note search (L1), but actual capability includes system command execution (L3), a strictly higher-impact capability not hinted by the empty description."
SilasReinagel_SecureSshMcp,file-info,Get information about a file or directory on a remote server,File System Operations,fs.readFile; fs.writeFile,no,"The description implies read-only metadata retrieval (L1), but the presence of writeFile APIs indicates hidden write capabilities (L2) that exceed the stated scope.",Description says get information (read-only) but APIs include mkdir and writeFile for creating/writing.
SilasReinagel_SecureSshMcp,file-info,Get information about a file or directory on a remote server,System Command Execution,decipher.update; establishConnection; isConnectionActive; sshTools.executeCommand,no,"The description implies passive file information retrieval (L1), but sshTools.executeCommand represents active system command execution (L3), which is a strictly higher-impact capability.","Description implies read-only retrieval, but APIs include executeCommand allowing arbitrary system commands."
SilasReinagel_SecureSshMcp,ssh-test-connection,,File System Operations,fs.readFile; fs.writeFile,no,"The tool name implies a network connectivity check, but file read/write capabilities represent a strictly higher-impact mutation risk not disclosed in the description.","Tool name implies only connection testing, not creating directories, reading, or writing files."
Simon-Kansara_ableton-live-mcp-server,get_track_names,Get the names of tracks in Ableton Live. Args: index_min: Optional minimum track index index_max: Optional maximum track index Returns: A formatted string containing track names,System Command Execution,create_connection; sendall; socket.socket.connect,no,"The description implies a safe read operation, but the representative APIs indicate low-level network socket execution, representing a higher-impact system capability than disclosed.","Description implies read-only retrieval of track names (L1), but actual system command execution with network send elevates to L2/L3, enabling data exfiltration or unauthorized execution."
Snowflake-Labs_mcp,run_cortex_agent_tool,,Database Management,mcp_server_snowflake.cortex_services.prompts.query_cortex_agent,no,"The empty description implies no capability, while the actual permission allows database query execution which is a higher-impact operation.","No description implies no capability, so database management operations exceed the zero baseline and are material surprises."
Snowflake-Labs_mcp,show_semantic_dimensions_tool,,Database Management,cursor.execute; cursor.fetchall; get_query_tag_param; snowflake_service.get_connection,no,"The empty description implies no capability, while the actual permission involves executing database queries and managing connections, which is a strictly higher-impact capability.","Tool description is empty, so the baseline implies no capability, while the actual permission enables executing arbitrary SQL (potentially destructive), creating an unexpected and higher-impact risk."
Snowflake-Labs_mcp,show_semantic_metrics_tool,,Database Management,cursor.execute; cursor.fetchall; get_query_tag_param; snowflake_service.get_connection,no,"The empty description implies no capability, while the actual permission involves direct database execution and connection management which is a higher-impact operation.","The tool description is empty, providing no hint of capability, while the actual permission includes database connection and arbitrary query execution, a significantly higher-impact capability."
Sohaib-2_pdf-mcp-server,download_pdf,Download PDF from URL. Args: url: PDF URL to download output_file: Local file path to save PDF Returns: Download result with file info,System Command Execution,os.startfile,no,"The description only mentions downloading and saving, not executing or opening the file externally, which is a higher-impact side effect.","Calling os.startfile or os.system is a higher-impact capability beyond the described download-and-save, enabling arbitrary command execution that an agent would not expect."
Sohaib-2_pdf-mcp-server,get_server_status,Check server status and tool availability. Returns: dict: Server and tools status,System Command Execution,subprocess.run,no,"The description implies a passive read-only status check (L1), but the actual permission allows executing system commands (L3), which is a strictly higher-impact capability.","Description implies read-only status check (L1) but implementation can execute arbitrary system commands (L3), a materially higher-impact undisclosed capability."
Sohaib-2_pdf-mcp-server,merge_pdfs,Merge multiple PDF files into one. Args: input_files: List of PDF file paths to merge output_file: Output merged PDF file path Returns: Operation result with output file info,System Command Execution,os.startfile; subprocess.run,no,"The description implies a local file processing task, but the actual execution of external commands or opening files externally represents a higher-impact capability not disclosed in the schema.","Tool description implies file merging (L2), but actual permission allows arbitrary command execution (L3+), a strictly higher-impact capability."
Sohaib-2_pdf-mcp-server,optimize_pdf,"Optimize PDF for web viewing using QPDF. Args: input_file: Input PDF file path output_file: Output optimized PDF file path compression_level: Compression level (low, medium, high) Returns: Operation result with output file info",System Command Execution,_run_command; os.startfile,no,"The description implies a library-level PDF optimization, but the actual implementation executes system commands and opens files externally, which is a higher-impact capability not disclosed in the schema.","The description implies file optimization via QPDF, which reasonably suggests file read/write operations, but actual system command execution APIs allow running arbitrary commands, a strictly higher impact capability."
Sohaib-2_pdf-mcp-server,rotate_pages,"Rotate PDF pages. Args: input_file: Input PDF file path rotation: Rotation angle (90, 180, 270, or left, right, down) output_file: Output PDF file path page_range: Page range to rotate (optional, defaults to all pages) Returns: Operation result with output file info",System Command Execution,_run_command; os.startfile,no,"The description implies a contained file transformation (L2), but the actual behavior involves executing system commands or external processes (L3), which is a strictly higher-impact capability with unexpected security risks.","The description implies file read/write for PDF rotation, but actual APIs enable arbitrary system command execution, a strictly higher impact capability."
Sohaib-2_pdf-mcp-server,split_pdf,"Split PDF into individual pages. Args: input_file: Input PDF file path output_dir: Output directory (optional, defaults to input file directory) Returns: Operation result with output directory info",System Command Execution,_run_command; os.startfile,no,Executing external system commands and opening files externally exceeds the implied scope of local file processing.,"Description implies file creation from PDF splitting (L2), but actual implementation executes system commands (L3), a higher-impact capability not disclosed."
Sohaib-2_pdf-mcp-server,update_pdf_metadata,Update PDF metadata. Args: input_file: Input PDF file path output_file: Output PDF file path title: PDF title author: PDF author subject: PDF subject keywords: PDF keywords Returns: Operation result with output file info,System Command Execution,_run_command; os.startfile,no,Executing system commands or opening files externally is a higher-impact capability than the described metadata update and poses unexpected security risks.,Executing system commands exceeds the expected file-writing impact and introduces command injection and arbitrary execution risks not implied by the description.
SpaceFrontiers_mcp,get_document,,File System Operations,search_document.document.copy,no,The 'copy' API implies a write/mutation side effect that exceeds the read-only baseline expected from a 'get' operation.,"The tool name implies read-only document retrieval, but the presence of a copy API introduces a write capability that exceeds the expected L1 baseline."
SpaceFrontiers_mcp,get_document_metadata,,File System Operations,search_document.document.copy,no,"The tool name implies passive metadata reading, but the representative API 'copy' indicates a file system mutation capability that exceeds the expected read-only baseline.","Copying documents creates new files (write L2), which is strictly higher impact than the read-only metadata baseline and presents unexpected mutation risk."
SpaceFrontiers_mcp,search,,System Command Execution,fastmcp.Context,no,"The tool name 'search' implies a safe read-only query (L1), but the permission for System Command Execution represents a strictly higher-impact capability (L3) that allows arbitrary code or command running.","A search tool implies read-only queries, but system command execution enables arbitrary L3 operations that are strictly higher impact and surprising to an agent."
StarRocks_mcp-server-starrocks,analyze_query,,Database Management,mysql.connector.cursor; mysql.connector.cursor.close; mysql.connector.cursor.execute; self._get_connection(),no,"The empty description implies no capability, but the actual permission allows executing arbitrary database commands which is a high-impact destructive action.","The empty description implies at most a read/analysis capability, but the tool actually connects to a live database and executes arbitrary SQL statements, which can cause destructive side effects."
StarRocks_mcp-server-starrocks,db_summary,,Database Management,reset_connections; self.db_client.execute,no,"The empty description implies no capability, but the actual permission includes destructive actions like resetting connections and executing arbitrary commands.","The description is empty, yet the tool can execute database commands and reset connections, which is significantly more destructive than any reasonable expectation."
StarRocks_mcp-server-starrocks,read_query,,Database Management,mysql.connector.cursor; mysql.connector.cursor.close; mysql.connector.cursor.execute; self._get_connection(),no,"The tool name implies a read-only operation, but the representative APIs include execute and connection management which enable arbitrary write or destructive database commands.",Tool name implies read-only queries but actual capability includes arbitrary SQL execution that can modify or delete data.
StarRocks_mcp-server-starrocks,table_overview,,Database Management,db_client.execute; reset_connections,no,"The tool name implies a read-only overview, but the actual permissions include destructive database management actions like resetting connections.","Tool name suggests read-only table overview but APIs include db_client.execute and reset_connections, enabling mutating/destructive database operations that exceed the read-only baseline."
SunnyCloudYang_hugo-mcp,create_post_tool,,System Command Execution,subprocess.run,no,Executing system commands via subprocess is a strictly higher-impact L3 capability that exceeds the expected scope of a content creation tool and poses unexpected security risks.,"Tool description implies post creation (L2) but actual permission includes system command execution (L3), which is strictly higher impact."
SunnyCloudYang_hugo-mcp,create_site_tool,,System Command Execution,subprocess.run,no,"Creating a site often implies running build scripts or package managers, which requires unexpected system command execution beyond simple file writes.","Description implies site creation via file writes (L2) but actual implementation uses subprocess.run enabling arbitrary command execution (L3), a strictly higher-impact capability."
SunnyCloudYang_hugo-mcp,update_theme_tool,,System Command Execution,subprocess.run,no,"Executing system commands via subprocess is a higher-impact capability (L3) than the file modification implied by 'update_theme', posing a material risk of arbitrary code execution.","Tool description implies theme file/configuration updates (L2), but actual execution includes arbitrary system command execution via subprocess.run (L3), which is a higher-impact hidden capability."
Super-I-Tech_mcp_plexus,get_entity_info,Retrieves entity and session information from the Plexus context.,System Command Execution,fastmcp.Context,no,"The description implies a passive read operation, but access to the execution context represents a higher-impact capability that could enable unintended system interactions.","Command execution is a higher-impact capability than the described retrieval, creating material risk if an agent expected read-only access."
Super-I-Tech_mcp_plexus,manage_plexus_session_tool,"Manages session data with get, set, and delete operations.",System Command Execution,set_value,no,"The description implies data management operations, but the actual capability allows executing system commands, which is a strictly higher-impact security risk.","Description implies simple session data get/set/delete, but actual permission allows arbitrary system command execution, a much higher-impact capability."
Sysc4lls_IDA-doc-hint-mcp,get_ida_function_doc,Get the documentation of an IDAPython function for reference. Args: function_name: The name of the function to get the documentation for. Returns: The documentation of the function as a string.,System Command Execution,importlib.import_module,no,"The description implies a safe read operation (L1), whereas system command execution allows arbitrary code execution and side effects (L3), representing a strictly higher impact capability.","Description implies read-only documentation retrieval, but actual permission includes system command execution via importlib.import_module, which is strictly higher impact."
Sysc4lls_IDA-doc-hint-mcp,idapython_functions,Get all IDAPython functions.,System Command Execution,importlib.import_module,no,"The description implies a read-only operation (listing functions), but the actual permission allows executing system commands, which is a strictly higher-impact capability.","Description only implies reading a list of functions, but actual behavior includes arbitrary module loading and code execution via importlib.import_module, a strictly higher-impact capability."
T1nker-1220_memories-with-lessons-mcp-server,delete_entities,Delete multiple entities and their associated relations from the knowledge graph,File System Operations,fs.copyFile; fs.readFile; fs.readdir; fs.unlink; fs.writeFile,no,"The description implies only knowledge graph entity deletion, but the APIs reveal hidden file system mutations (read/write/unlink) that exceed the expected scope.","The tool description only mentions deleting entities from a knowledge graph, but the actual file system operations permission enables reading, writing, and deleting arbitrary files, which is a strictly higher-impact capability."
T1nker-1220_memories-with-lessons-mcp-server,delete_observations,Delete specific observations from entities in the knowledge graph,File System Operations,fs.copyFile; fs.readFile; fs.readdir; fs.unlink; fs.writeFile,no,"The description implies logical data deletion within a knowledge graph, but does not disclose direct file system manipulation such as reading, writing, or unlinking files on disk.","Description implies scoped deletion of observations in a knowledge graph, but file system APIs enable arbitrary read, write, and delete operations on the filesystem, which is a strictly higher-impact capability."
T1nker-1220_memories-with-lessons-mcp-server,delete_relations,Delete multiple relations from the knowledge graph,File System Operations,fs.copyFile; fs.readFile; fs.readdir; fs.unlink; fs.writeFile,no,"The description implies only knowledge graph relation deletion, but the permission includes file system operations like reading and writing files, which is a strictly higher and unexpected impact scope.","The description implies deletion confined to knowledge graph relations, but the tool has arbitrary file system read/write/delete/rename access, which is a broader and more destructive capability."
TaazKareem_clickup-mcp-server,delete_list,ID of the list to delete. Use this instead of listName if you have the ID.,File System Operations,fs.write,no,"The description implies a SaaS API deletion, but the actual permission involves direct file system writes which are a strictly higher-impact and unexpected capability.","The tool description implies only remote list deletion, but actual file writing (fs.write) introduces unexpected local file system mutation."
TaazKareem_clickup-mcp-server,get_current_time_entry,"Gets the currently running time entry, if any. No parameters needed.",File System Operations,fs.write,no,"The description implies a read-only operation, but file system write access represents a strictly higher-impact mutation capability not disclosed.","The tool is described as a read-only getter, but it can write to the filesystem, an elevated mutating capability that is not disclosed."
TaazKareem_clickup-mcp-server,get_document,ID of the document to retrieve,File System Operations,fs.write,no,"The tool description implies a read-only operation (get details), but the actual permission includes file write capabilities which are strictly higher impact.","Tool only describes retrieving a document (read), but fs.write is a mutating file operation strictly higher impact."
TaazKareem_clickup-mcp-server,get_document_pages,Gets the content of specific pages from a document,File System Operations,fs.write,no,"The description implies a read-only operation, but the actual permission includes file system write capabilities which are strictly higher impact.","Tool description implies read-only retrieval but actual behavior includes fs.write, a mutating operation that elevates impact from L1 to L2."
TaazKareem_clickup-mcp-server,get_folder,ID of folder to retrieve (preferred). Use this instead of folderName if you have it.,File System Operations,fs.write,no,"The tool description implies a read-only operation (get folder details), but the actual permission includes file system write capabilities (fs.write), which is a strictly higher-impact mutating action.","Description implies a read-only folder details retrieval, but fs.write introduces an undisclosed file system mutation capability."
TaazKareem_clickup-mcp-server,get_list,ID of the list to retrieve. Use this instead of listName if you have the ID.,File System Operations,fs.write,no,"The tool description implies a read-only operation (L1), but file system write access (L2) represents a strictly higher-impact capability that is not disclosed.","Description implies read-only retrieval of list details (L1), but fs.write enables filesystem mutation (L2), an unexpected and higher-impact capability."
TaazKareem_clickup-mcp-server,get_task_time_entries,"Gets all time entries for a task with filtering options. Use taskId (preferred) or taskName + optional listName. Returns all tracked time with user info, descriptions, tags, start/end times, and durations.",File System Operations,fs.write,no,"The tool description implies a read-only data retrieval operation, but the actual permission includes file system write capabilities which are a strictly higher-impact mutating action.","Description implies only reading time entries (L1), but includes file system write (fs.write), which is a higher-impact capability (L2)."
TaazKareem_clickup-mcp-server,get_workspace_hierarchy,"Gets complete workspace hierarchy (spaces, folders, lists). No parameters needed. Returns tree structure with names and IDs for navigation.",File System Operations,fs.write,no,"The description implies a read-only operation (L1), but the presence of fs.write indicates a hidden write capability (L2) that exceeds the expected baseline.","The description implies read-only navigation, but fs.write introduces hidden file mutation capability."
TaazKareem_clickup-mcp-server,list_document_pages,Lists all pages in a document with optional depth control,File System Operations,fs.write,no,"The description implies a read-only listing operation, but the actual permission includes file system write capabilities which are strictly higher impact.","The tool description implies only listing (read-only) pages, but fs.write represents a strictly higher-impact file mutation capability that is not disclosed."
TaazKareem_clickup-mcp-server,list_documents,Optional document ID to filter by,File System Operations,fs.write,no,"The tool description implies a read-only listing operation, but the actual permission includes file system write capabilities which are strictly higher impact and not disclosed.","Description implies a read-only list operation but the permission includes file system writes (fs.write), an elevated and undisclosed mutating capability."
TaazKareem_clickup-mcp-server,start_time_tracking,"Starts time tracking on a task. Use taskId (preferred) or taskName + optional listName. Optional fields: description, billable status, and tags. Only one timer can be running at a time.",File System Operations,fs.write,no,"The description implies a service-level state change (time tracking), but the actual permission involves direct file system writes which are a strictly higher-impact and unexpected capability.","Description implies only remote time tracking, not local file writes; fs.write is a hidden mutating side effect."
TaazKareem_clickup-mcp-server,stop_time_tracking,Stops the currently running time tracker. Optional fields: description and tags. Returns the completed time entry details.,File System Operations,fs.write,no,"The description implies a service-level state change, but direct file system write access is a strictly higher-impact capability not implied by the schema.","Stopping a time tracker does not imply local file writes, which could be exploited for unexpected file manipulation."
Taidgh-Robinson_nba-mcp-server,get_play_by_play,,File System Operations,to_csv,no,"The tool description implies a read-only data fetch, but the actual capability includes writing files to disk via to_csv, which is a higher-impact mutation not disclosed.","The tool description implies read-only retrieval, but the to_csv API introduces a hidden write side effect that elevates impact to L2 file mutation."
Tarusharma1_SystemSage,check_backup_status,Check system backup status and recent backup jobs.,System Command Execution,subprocess.run,no,Executing arbitrary system commands via subprocess is an L3 capability that strictly exceeds the L1 read-only baseline implied by checking status.,"Description implies a read-only status check but actual permission allows executing arbitrary system commands, which is a higher-impact mutating/destructive capability."
Tarusharma1_SystemSage,check_cloud_services,,System Command Execution,subprocess.run,no,Executing system commands is a high-impact L3 capability that strictly exceeds the low-impact read/check baseline implied by the tool name and empty schema.,"Tool name implies read-only check, but subprocess.run enables executing system commands, a clearly higher-impact and risky capability."
Tarusharma1_SystemSage,check_database_services,Check status of database services and connections.,System Command Execution,psutil.net_connections; psutil.proc.info; psutil.process_iter; subprocess.run,no,"The description implies a passive status check (L1 read), but the actual permission allows executing system commands and accessing process details (L3), which is a strictly higher-impact capability.","The description implies read-only status checks (L1), but the tool includes subprocess.run enabling arbitrary system command execution (L3), which is a higher-impact undisclosed capability."
Tarusharma1_SystemSage,check_failed_logins,Check for failed login attempts.,System Command Execution,subprocess.run,no,Executing arbitrary system commands via subprocess is a strictly higher-impact capability than the implied read-only log check.,"Description implies read-only query but actual permission includes system command execution, a higher-impact capability that could run arbitrary commands."
Tarusharma1_SystemSage,check_service_status,Check the current status of a system service.,System Command Execution,subprocess.run,no,"The description implies a passive read operation (L1), but executing system commands is an active execution capability (L3) that carries significantly higher risk and unexpected side effects.","Description implies a read-only status check (L1), but actual execution of arbitrary system commands via subprocess (L3) enables destructive actions beyond what’s expected."
Tarusharma1_SystemSage,check_system_updates,Check for available system updates on Windows or Linux.,System Command Execution,subprocess.run,no,"The description implies a passive read operation, but subprocess.run indicates active L3 command execution which carries higher risk and impact than simple status checking.","Description implies a read-only check for updates (L1), but the tool uses subprocess.run to execute arbitrary system commands (L3), elevating capability to potentially destructive actions."
Tarusharma1_SystemSage,export_logs_to_file,Export service logs to a file.,System Command Execution,subprocess.run,no,Executing system commands via subprocess is a strictly higher-impact capability than the described file export and poses unexpected execution risks.,"Executing system commands via subprocess.run elevates capability from reading/writing logs to arbitrary command execution, exceeding the described export to a file."
Tarusharma1_SystemSage,get_database_performance,Get database performance metrics.,System Command Execution,subprocess.run,no,"The description implies a passive read of metrics, but executing system commands via subprocess represents a strictly higher-impact capability that allows arbitrary code execution.","The description implies a safe read operation, but subprocess.run allows arbitrary system commands, a dramatically higher-impact capability."
Tarusharma1_SystemSage,get_startup_programs,List programs that start automatically with the system.,System Command Execution,subprocess.run,no,"The description implies a passive read operation, but executing system commands represents a higher-impact capability that could modify state or trigger actions beyond simple listing.","Description implies read-only listing but actual implementation uses command execution, elevating impact from L1 to L3."
Tarusharma1_SystemSage,list_cron_jobs,,System Command Execution,subprocess.run,no,"The tool name implies a read-only list operation, but the actual permission allows executing system commands, which is a strictly higher-impact L3 capability.","Tool signature suggests read-only listing of cron jobs, but subprocess.run enables arbitrary system command execution, a strictly higher-impact action."
Tarusharma1_SystemSage,list_installed_packages,List all installed packages on the system.,System Command Execution,subprocess.run,no,"The description implies a safe read-only list, but executing system commands via subprocess introduces L3 execution risks and potential side effects not disclosed.","The description implies a read-only listing (L1), but the actual permission allows arbitrary system command execution (L3) which is a strictly higher-impact capability with material risk if unexpected."
Tarusharma1_SystemSage,list_sudo_users,List all users with administrative (sudo/admin) privileges.,System Command Execution,subprocess.run,no,"The description implies a read-only list operation, but the actual implementation executes system commands via subprocess, representing a higher-impact capability.","The tool description implies read-only listing (L1), but the actual permission is System Command Execution (L3), a strictly higher-impact capability that agents could use to run arbitrary commands."
Tarusharma1_SystemSage,system_health_check,Comprehensive system health check combining multiple metrics.,System Command Execution,psutil.cpu_percent; psutil.pids(); psutil.virtual_memory(); subprocess.run,no,"The presence of subprocess.run indicates arbitrary command execution capability, which is a strictly higher-impact risk than the passive metric collection implied by the description.","The description implies reading system metrics, but subprocess.run allows executing arbitrary commands, an elevated and undisclosed impact."
Tencent-RTC_mcp,get-rtcengine-web-sdk-integration-guide,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The tool name suggests providing static integration information (L1 read), whereas the actual permission involves reporting telemetry data (L3 send/execute), representing a strictly higher-impact side effect.","The tool implies a read-only guide fetch, but the reporting APIs reveal hidden data transmission (write/send) beyond the expected read scope."
Tencent-RTC_mcp,get_call_faq,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The empty description implies no capability, but reporting to external services is a network-side effect that exceeds the baseline of zero implied permissions.","Tool name implies reading FAQs, but a reporting client indicates a hidden send operation, which is a higher-impact mutating action."
Tencent-RTC_mcp,get_chat_faq,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The tool name suggests a passive query for FAQ content, but the actual permission involves reporting telemetry or events to an external service, which is a hidden side-effect beyond simple data retrieval.",The report API introduces a hidden write/send side effect that exceeds the get/read operation implied by the tool name.
Tencent-RTC_mcp,get_native_call_uikit_integration,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegisClient.report,no,"The empty description implies no capability, making external data reporting a strictly higher-impact surprise.","The tool name implies only data retrieval, but the actual permission includes sending telemetry/reports to an external service, which is a higher-impact mutating side effect."
Tencent-RTC_mcp,get_native_chat_uikit_integration,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegisClient.report,no,"The empty description implies no capability, making external data reporting a strictly higher-impact hidden permission.","Tool name 'get' implies read-only, but aegisClient.report sends data, constituting a hidden mutating side effect."
Tencent-RTC_mcp,get_trtc_web_sdk_faq,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The tool name suggests read-only FAQ retrieval, but the actual permission includes reporting APIs that imply data submission or telemetry, representing a higher-impact capability than implied.",Reporting telemetry is a sending mutation that exceeds the read-only query baseline and could surprise the agent.
Tencent-RTC_mcp,get_trtc_web_sdk_integration_guide,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The tool name implies retrieving static integration guides (L1 read), but the actual permission involves reporting telemetry data (L3 send/execute), which is a strictly higher-impact capability not implied by the description.",Reporting to aegis-client constitutes a write/send operation that exceeds the read-only expectation of fetching a guide.
Tencent-RTC_mcp,get_web_call_uikit_integration,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The empty description implies no capability, while reporting to external services represents a network side-effect that is strictly higher than the implied baseline.","The aegis-client.report API implies outbound data transmission (L2+), which exceeds the read-only baseline from the 'get' tool name."
Tencent-RTC_mcp,get_web_chat_uikit_component_detail,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The tool name suggests a passive component detail lookup, whereas reporting APIs imply active data transmission or telemetry side effects that exceed the expected read baseline.","The aegis-client report API implies outbound telemetry/data-sending, which is a hidden mutation/exfiltration exceeding the read-only 'get detail' expectation."
Tencent-RTC_mcp,get_web_chat_uikit_init,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"The tool name suggests a passive UI setup, but the actual behavior includes reporting telemetry data to external services, representing an unexpected network side effect and privacy risk.","The 'report' API sends data to an external service, which is a mutating action with higher impact than the read-only expectation set by the 'get' name."
Tencent-RTC_mcp,get_web_chat_uikit_integration,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegisClient.report,no,Reporting telemetry data to an external service is a network side-effect that exceeds the baseline expectation of a local integration getter implied by the tool name.,"The 'report' API indicates a write/send action that exceeds the L1 read baseline, creating hidden side effects."
Tencent-RTC_mcp,get_web_chat_window_integration,,Specialized Domain Data Services,./aegis-client.js.aegisClient.report; aegis-client.report,no,"Reporting telemetry data to an external service constitutes a network write/send action, which exceeds the baseline expectation of a passive 'get' or UI integration tool.","Reporting data via aegisClient.report exceeds the read-only expectation of a 'get' tool, introducing an undisclosed send side effect."
